id,name,host_id,hosts_time_as_user_years,hosts_time_as_user_months,hosts_time_as_host_years,hosts_time_as_host_months,host_location,host_is_superhost,host_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,property_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,availability_eoy,number_of_reviews_ly,estimated_occupancy_l365d,estimated_revenue_l365d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,price_log,reviews_minmax,price_zscore,price_log_zscore,review_activity,price_per_person,long_stay_listing,room_type_Entire home/apt,room_type_Hotel room,room_type_Private room,room_type_Shared room,review_activity_ordinal
1316151084554573400,Stylish 1BD Condo in Downtown,587309368,1,11,1.0,11.0,,0,20,1,1,CBD,39.7457468350613,-104.99691922143292,Entire rental unit,2,1.0,1 bath,1.0,1.0,124.27,30.0,365.0,1,0,10,40,298,2,1,1,135,1,60,7456.0,2025-02-05,2026-06-01,5.0,5.0,5.0,5.0,5.0,5.0,5.0,not listed,14,14,0,0,0.12,4.8304714078561,0.0011123470522803114,-0.08658212623891141,-0.4686965617907592,Low,62.135,1,True,False,False,False,0
1316458458958774292,The Wolff St. BnB,60942774,10,4,1.0,6.0,"Denver, CO",1,1,1,1,Mar Lee,39.69102,-105.04918,Entire home,6,1.0,1 bath,3.0,3.0,253.91,2.0,1125.0,1,19,31,51,130,60,32,4,130,44,224,56876.0,2024-12-22,2026-06-23,4.92,4.95,4.95,4.98,4.98,4.92,4.97,2024-BFN-0045658,1,1,0,0,3.24,5.54091054168356,0.03337041156840934,-0.012625886935843452,0.4449456682964704,High,42.318333333333335,0,True,False,False,False,2
1342349594318058383,Vintage Denver Gem,666052465,1,6,0.0,7.0,"San Francisco, CA",0,1,0,1,Capitol Hill,39.73153067788069,-104.97907333043948,Entire home,10,2.5,2.5 baths,4.0,6.0,438.0,2.0,365.0,1,15,33,60,300,7,7,1,124,0,49,21462.0,2026-01-26,2026-06-15,4.57,4.71,4.57,5.0,5.0,4.86,4.57,2025-BFN-0018037,1,1,0,0,1.35,6.0844994130751715,0.00389321468298109,0.09239265744321995,1.1440143499908129,Low,43.8,0,True,False,False,False,0
1343710287165826919,Downtown Denver Vibes,192906363,8,0,1.0,1.0,"Denver, CO",1,1,1,1,Union Station,39.7506749,-104.9958166,Entire rental unit,5,1.0,1 bath,2.0,2.0,462.0,1.0,28.0,1,0,10,18,248,77,70,6,68,45,255,117810.0,2025-06-11,2026-06-27,4.97,4.99,4.96,4.94,4.97,4.95,4.9,2025-BFN-0009118,1,1,0,0,6.0,6.137727054086234,0.04282536151279199,0.10608403158139977,1.2124664077675744,High,92.4,0,True,False,False,False,2
1343766507313770123,Cozy Retreat for Work or Fun,256932503,7,2,7.0,2.0,,1,1,1,1,Speer,39.71941242878543,-104.98394438266418,Entire guest suite,2,1.0,1 bath,,,145.0,1.0,1125.0,1,3,10,20,185,45,30,3,100,35,210,30450.0,2025-02-23,2026-06-22,4.89,4.91,4.91,4.96,4.98,4.93,4.87,2025-BFN-0000882,1,1,0,0,2.74,4.983606621708336,0.02502780867630701,-0.0747562018270586,-0.2717609037913488,Medium,72.5,0,True,False,False,False,1
1344530633302202740,"Walk to DU, fully furnished studio apartment",51627693,10,6,1.0,5.0,"Denver, CO",0,1,1,1,University,39.67914,-104.96984,Entire rental unit,2,1.0,1 bath,1.0,1.0,56.67,30.0,180.0,1,0,0,0,85,1,1,1,0,0,60,3400.0,2026-06-23,2026-06-23,5.0,5.0,5.0,5.0,5.0,5.0,5.0,not listed,1,1,0,0,1.0,4.0547371076273215,0.0005561735261401557,-0.12514616339478454,-1.466309984629466,Low,28.335,1,True,False,False,False,0
1344544554677051968,Cute House Amazing Neighborhood,375801824,5,7,1.0,3.0,"Denver, CO",0,1,1,1,Belcaro,39.6968,-104.94561,Entire home,5,2.5,2.5 baths,3.0,3.0,266.67,3.0,27.0,1,3,4,4,36,4,2,1,36,3,14,3733.0,2025-05-20,2026-06-06,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2025-BFN-0002979,1,1,0,0,0.29,5.5897548785012345,0.002224694104560623,-0.005346639685711175,0.5077606888835409,Low,53.334,0,True,False,False,False,0
1344681200377154909,montclair magic,33688404,11,1,1.0,4.0,"Denver, CO",0,2,1,1,East Colfax,39.73941145393119,-104.90254187345744,Entire rental unit,4,1.0,1 bath,2.0,3.0,109.51,30.0,365.0,1,27,57,87,362,1,0,0,182,1,0,0.0,2025-05-13,2025-05-13,5.0,5.0,5.0,5.0,5.0,5.0,5.0,not listed,2,2,0,0,0.07,4.705106014600691,0.0005561735261401557,-0.095002321333892,-0.6299195463025499,Low,27.3775,1,True,False,False,False,0
1344940554695865989,Tranquility Gardens  ( 24/hr pool & hot tub),372133101,5,8,1.0,1.0,,0,1,1,1,Cherry Creek,39.71765386176882,-104.94957793504,Entire rental unit,3,1.0,1 bath,1.0,1.0,420.0,2.0,7.0,1,26,56,86,176,5,3,0,176,2,21,8820.0,2025-06-08,2026-05-03,5.0,5.0,5.0,4.6,5.0,5.0,4.8,2025-BFN-0006498,1,1,0,0,0.39,6.042632833682381,0.0027808676307007787,0.0821241268395851,1.0901728973719558,Low,140.0,0,True,False,False,False,0
1316991465817433272,"Room, Queen Bed, Desk, Fast WiFi, Laundry, Garage",409510498,5,0,1.0,6.0,"Denver, CO",1,3,1,1,Harvey Park,39.67741,-105.0614,Private room in guest suite,1,1.0,1 shared bath,,2.0,,29.0,120.0,1,0,14,44,44,10,5,0,44,9,255,,2025-01-28,2026-03-01,4.6,4.6,4.7,4.7,4.6,4.6,4.6,2024-BFN-0048138,2,1,1,0,0.58,,0.0055617352614015575,,,Medium,,0,False,False,True,False,1
